Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,0.0121195610615885,-0.00045414700170382,0.032112087923575,0,0,0,1.79873529531539,0.0030430512563841,-7.99243553046834E-07,-4.79495467156078E-06,0.00405280791590414,-1.14391361988419E-05,0.00598666141833636,0,0,0,0,0,0,package://axisnewbipedal/meshes/Baselink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Baselink.STL,,Baseplate2.2.2-1;Baseplate2.2.1-1;Baseplate1.2-1;Baseplate1.2-2;105motormount-2;servoFeetechSTS3095-6;servoFeetechSTS3095-1;105motormount-1;drive_motor_mount_v2 (1)-2;drive_motor_mount_v2 (1)-3;drive_motor_mount_v2 (1)-6;drive_motor_mount_v2 (1)-4;drive_motor_mount_v2 (1)-5;Dockingf-2;Dokingm-1;STS3215_03a v1-1;STS3215_03a v1-2;STS3215_03a v1-7;STS3215_03a v1-8;STS3215_03a v1-9;Wheel-1;servo_wheel_hub-1;Wheel-4;servo_wheel_hub-3;Wheel-2;servo_wheel_hub-2;Wheel-3;servo_wheel_hub-4,Baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
IMUleft,-0.00129188191927912,4.07733683330247E-06,-0.00236819206124636,0,0,0,0.00446702174268276,6.84231434995655E-07,4.56208858048438E-10,1.64296770524199E-08,3.7604239998383E-07,8.90632927329668E-11,9.07500911120845E-07,0,0,0,0,0,0,package://axisnewbipedal/meshes/IMUleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/IMUleft.STL,,IMUleft-1,IMUleft,as_IMU_left,IMUleft_joint,fixed,-2.35848873947619E-05,-0.015000020755498,0.0851,0,0,1.5707963267949,Baselink,0,0,0,,,,,,,,,,,,
IMUright,0.000870135893543372,-6.27414425968809E-09,-0.0067251282073453,0,0,0,0.00662926531667998,1.90880432962874E-06,4.68983873418751E-13,-4.15673471632752E-08,9.54365098136334E-07,4.16933580411647E-13,1.99900689159998E-06,0,0,0,0,0,0,package://axisnewbipedal/meshes/IMUright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/IMUright.STL,,IMUright-1,IMUright,as_IMU_right,IMUright_joint,fixed,0,0.0149999999999998,0.0851,0,0,1.5707963267949,Baselink,0,0,0,,,,,,,,,,,,
Bubleft,0.000710752599830389,1.81785287933778E-08,0.0169536763899823,0,0,0,0.0588145797321857,2.46815692806483E-05,1.50045890633806E-11,-1.48525751292975E-06,5.59461103392955E-05,-1.75224139464006E-11,4.85525566915953E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Bubleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Bubleft.STL,,Hip_105kg-1,Bubleft,Leftbub,Bubleft_joint,revolute,0.04025,-0.0799500000000004,0.0228999999999999,1.5707963267949,0,-1.5707963267949,Baselink,0,0,1,0,0,0,0,,,,,,,,
Hipleft,-0.00042050534546903,0.00251976943574571,-0.0421972616591183,0,0,0,0.226261634433227,0.000137472901154741,4.88881585039156E-07,3.11903803638425E-06,8.86233207220475E-05,-7.23481904337154E-06,9.77025986114852E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Hipleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Hipleft.STL,,servoFeetechSTS3095-2;Hip+twist_105kg-1;STS3215_03a v1-3,Hipleft,Lefthip,Hipleft_joint,revolute,-0.000300000000000342,0,0.04695,1.5707963267949,1.5707963267949,0,Bubleft,0,-1,0,0,0,0,0,,,,,,,,
Rotate_left,-0.00397214684050922,-1.07075881772278E-08,-0.0346181318611727,0,0,0,0.0860125684597943,8.11471763830618E-05,1.42661208664027E-11,2.909549419978E-06,0.000122098911317256,-7.29973827335826E-12,7.28979465570447E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Rotate_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Rotate_left.STL,,Twist30kg-1,Nhat_rotate_left,Axis4,Nhat_rotate_left,revolute,0.000100000000000128,-0.000299999999999932,-0.0961,0,0,-1.5707963267949,Hipleft,0,0,-1,0,0,0,0,,,,,,,,
Kneeleft,-9.08269444225007E-05,-0.0847882248405136,-1.99919391926859E-05,0,0,0,0.337644934503235,0.000508986805699051,6.50836667253898E-13,2.62168989491212E-12,0.000183877774809467,1.12174723661214E-06,0.000412650811451325,0,0,0,0,0,0,package://axisnewbipedal/meshes/Kneeleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Kneeleft.STL,,servoFeetechSTS3095-4;Knee105+30kg-1;STS3215_03a v1-4/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-4/STS3215_03a v1.step-1/ac2.step-1;STS3215_03a v1-4/STS3215_03a v1.step-1/ac1.step-1,Kneeleft,Leftknee,Kneeleft_joint,revolute,-0.00479999999999999,0,-0.089,1.5707963267949,0,1.5707963267949,Rotate_left,0,0,1,0,0,0,0,,,,,,,,
Footleft,0.020473,-0.020682,-0.00042834,0,0,0,0.30253,0.00028097,-8.5366E-05,4.3577E-07,0.00053075,1.0395E-08,0.00040177,0,0,0,0,0,0,package://axisnewbipedal/meshes/Footleft.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Footleft.STL,,Foot30kg - Copy-1;STS3215_03a v1-5/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-5/STS3215_03a v1.step-1/ac1.step-1;Jaw30kg-1;STS3215_03a v1-5/STS3215_03a v1.step-1/ac2.step-1,Nhatlefftfoot,Axis1,Footleft_joint,revolute,-0.000299999999999939,-0.19,0.00125000000000003,0,0,0,Kneeleft,0,0,-1,0,0,0,0,,,,,,,,
Bubright,0.000710752599830416,-1.81785287378666E-08,-0.0169536763899823,0,0,0,0.0588145797321857,2.46815692806484E-05,-1.50045890438722E-11,1.4852575129298E-06,5.59461103392956E-05,-1.75224139484085E-11,4.85525566915954E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Bubright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Bubright.STL,,Hip_105kg-2,Bubright,Rightbub,Bubright_joint,revolute,0.04025,0.07995,0.0229,1.5707963267949,0,1.5707963267949,Baselink,0,0,-1,0,0,0,0,,,,,,,,
Hipright,-0.00042378293263215,-0.00253740497219043,-0.0419718857147577,0,0,0,0.224852717179307,0.000137437078521493,-4.88795888755109E-07,3.11909131459657E-06,8.858768302376E-05,7.23455158312816E-06,9.76339620287306E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Hipright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Hipright.STL,,Hip+twist_105kg(2)-1;STS3215_03a v1-10/STS3215_03a v1.step-1/main.step-1;servoFeetechSTS3095-5,Hipright,Righthip,Hipright_joint,revolute,-0.00029999999999869,0,-0.04695,1.5707963267949,-1.5707963267949,0,Bubright,0,1,0,0,0,0,0,,,,,,,,
Rotate_right,0.00397214753942057,1.01134073893228E-08,-0.0346181311327085,0,0,0,0.0860125654516269,8.11471741937285E-05,1.3190967686973E-11,-2.90954813510552E-06,0.000122098908774383,6.21911415279255E-12,7.2897944395315E-05,0,0,0,0,0,0,package://axisnewbipedal/meshes/Rotate_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Rotate_right.STL,,Twist30kg-2,Nhat_rotate_right,Axis3,rotate_right,revolute,9.99999999999612E-05,0.000299999999999689,-0.0961,0,0,-1.5707963267949,Hipright,0,0,-1,0,0,0,0,,,,,,,,
Kneeright,8.99507553574486E-05,-0.0843475112569392,9.14142904644838E-05,0,0,0,0.336236499067109,0.000508951159286984,-6.48914915361512E-13,2.62168992654048E-12,0.000183842128436334,-1.12174723661202E-06,0.000412582346317215,0,0,0,0,0,0,package://axisnewbipedal/meshes/Kneeright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Kneeright.STL,,servoFeetechSTS3095-3;Knee105+30kg-2;STS3215_03a v1-11/STS3215_03a v1.step-1/main.step-1,Kneeright,Rightknee,Kneeright,revolute,0.0050999999999999,0,-0.089,1.5707963267949,0,1.5707963267949,Rotate_right,0,0,-1,0,0,0,0,,,,,,,,
Footright,0.0205877685678537,-0.0213895212689252,1.84951291865854E-05,0,0,0,0.302532642565086,0.000280968016977903,-8.53656460661092E-05,4.35772758585093E-07,0.000530752960448646,1.0394500003033E-08,0.000401765448104903,0,0,0,0,0,0,package://axisnewbipedal/meshes/Footright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://axisnewbipedal/meshes/Footright.STL,,Foot30kg - Copy-2;Jaw30kg-2;STS3215_03a v1-12/STS3215_03a v1.step-1/main.step-1;STS3215_03a v1-12/STS3215_03a v1.step-1/ac2.step-1;STS3215_03a v1-12/STS3215_03a v1.step-1/ac1.step-1,Nhatrightfoot,Axis2,Footright_joint,revolute,0.000300000000000022,-0.19,-0.00105000000000002,0,0,0,Kneeright,0,0,-1,0,0,0,0,,,,,,,,
