Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Baselink,0.0177910562184533,-0.000635637628455039,0.0390762845687755,0,0,0,1.22784174538995,0.00229889053570433,-1.08443745455851E-06,-4.75496298302106E-06,0.00367034700592062,-1.24068201776317E-05,0.00558063106960346,0,0,0,0,0,0,package://Fulltrans/meshes/Baselink.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Baselink.STL,,Baseplate2.2.2-1;Baseplate2.2.1-1;Baseplate1.2-1;Baseplate1.2-2;105motormount-2;servoFeetechSTS3095-6;servoFeetechSTS3095-1;105motormount-1;drive_motor_mount_v2 (1)-2;drive_motor_mount_v2 (1)-3;drive_motor_mount_v2 (1)-6;drive_motor_mount_v2 (1)-4;drive_motor_mount_v2 (1)-5;Dockingf-2;Dokingm-1;STS3215_03a v1-1;STS3215_03a v1-2;STS3215_03a v1-7;STS3215_03a v1-8;STS3215_03a v1-9,Baselink,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
IMUleft,0.00129188191927912,4.07733683330247E-06,0.00236819206124636,0,0,0,0.00446702174268276,6.84231434995655E-07,-4.56208858048423E-10,1.64296770524199E-08,3.7604239998383E-07,-8.90632927329768E-11,9.07500911120845E-07,0,0,0,0,0,0,package://Fulltrans/meshes/IMUleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/IMUleft.STL,,IMUleft-1,IMUleft,,IMUleft_joint,fixed,-2.3585E-05,-0.015,0.0851,3.1416,0,-1.5708,Baselink,0,0,0,,,,,,,,,,,,
IMUright,0.000870135893543206,6.27414442622154E-09,0.00672512820734533,0,0,0,0.00662926531667998,1.90880432962874E-06,-4.68983873420937E-13,4.15673471632752E-08,9.54365098136334E-07,4.16933580387302E-13,1.99900689159998E-06,0,0,0,0,0,0,package://Fulltrans/meshes/IMUright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/IMUright.STL,,IMUright-1,IMUright,,IMUright_joint,fixed,0,0.015,0.0851,3.1416,0,1.5708,Baselink,0,0,0,,,,,,,,,,,,
Bubleft,-0.0169536763899823,-0.000710752599830389,1.81785287933778E-08,0,0,0,0.0588145797321857,4.85525566915953E-05,-1.48525751292975E-06,1.75224139464665E-11,2.46815692806483E-05,-1.50045890634578E-11,5.59461103392955E-05,0,0,0,0,0,0,package://Fulltrans/meshes/Bubleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Bubleft.STL,,Hip_105kg-1,Bubleft,Leftbub,Bubleft_joint,revolute,0.04025,-0.07995,0.0229,0,0,0,Baselink,-1,0,0,0,0,0,0,,,,,,,,
Hipleft,-0.00042050534546903,0.00251976943574571,-0.0421972616591183,0,0,0,0.226261634433227,0.000137472901154741,4.88881585039156E-07,3.11903803638425E-06,8.86233207220476E-05,-7.23481904337154E-06,9.77025986114852E-05,0,0,0,0,0,0,package://Fulltrans/meshes/Hipleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Hipleft.STL,,servoFeetechSTS3095-2;Hip+twist_105kg-1;STS3215_03a v1-3,Hipleft,Lefthip,Hipleft_joint,revolute,-0.04695,0.0003,0,0,0,0,Bubleft,0,-1,0,0,0,0,0,,,,,,,,
Twistleft,-1.07075882049834E-08,0.00397214684050923,-0.0391681318611728,0,0,0,0.0860125684597943,0.000122098911317256,-1.42661208657988E-11,-7.29973827434662E-12,8.11471763830618E-05,-2.90954941997801E-06,7.28979465570447E-05,0,0,0,0,0,0,package://Fulltrans/meshes/Twistleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Twistleft.STL,,Twist30kg-1,Twistleft,Lefttwist,Twistleft_joint,revolute,0.0001,-0.0003,-0.09155,0,0,0,Hipleft,0,0,-1,0,0,0,0,,,,,,,,
Kneeleft,-9.06819286358163E-05,2.18579015713628E-05,-0.0856666113326481,0,0,0,0.332394123054362,0.000473720027337468,4.73527373092669E-10,-1.15266051752651E-12,0.00038154423076266,-1.14161609798927E-06,0.000178547783186672,0,0,0,0,0,0,package://Fulltrans/meshes/Kneeleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Kneeleft.STL,,servoFeetechSTS3095-4;Knee105+30kg-1;STS3215_03a v1-4,Kneeleft,Leftknee,Kneeleft_joint,revolute,0,0.0048,-0.09355,0,0,0,Twistleft,0,-1,0,0,0,0,0,,,,,,,,
Footleft,0.0366739746106051,0.000787772927194386,-0.0173790624971643,0,0,0,0.213822722812712,0.000122852397241932,-7.51397840790719E-08,-6.57031339430156E-05,0.000254522196269557,-4.99206814407865E-09,0.00027081508110532,0,0,0,0,0,0,package://Fulltrans/meshes/Footleft.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Footleft.STL,,Foot30kg-1;Jaw30kg-1;STS3215_03a v1-5,Footleft,Leftfoot,Footleft_joint,revolute,-0.0003,-0.00125,-0.19,0,0,0,Kneeleft,0,-1,0,0,0,0,0,,,,,,,,
Bubright,-0.0169536763899823,0.000710752599830416,-1.81785287378666E-08,0,0,0,0.0588145797321857,4.85525566915954E-05,1.4852575129298E-06,-1.7522413947692E-11,2.46815692806484E-05,-1.50045890502012E-11,5.59461103392956E-05,0,0,0,0,0,0,package://Fulltrans/meshes/Bubright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Bubright.STL,,Hip_105kg-2,Bubright,Rightbub,Bubright_joint,revolute,0.04025,0.07995,0.0229,0,0,0,Baselink,-1,0,0,0,0,0,0,,,,,,,,
Hipright,-0.000420522477027535,-0.00251974263085039,-0.0421972390878887,0,0,0,0.226261152615433,0.000137472724933561,-4.88795890676782E-07,3.11909131459655E-06,8.86233293968933E-05,7.23455158312811E-06,9.77024271628415E-05,0,0,0,0,0,0,package://Fulltrans/meshes/Hipright.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://Fulltrans/meshes/Hipright.STL,,Hip+twist_105kg(2)-1;servoFeetechSTS3095-5;STS3215_03a v1-10,Hipright,Righthip,Hipright_joint,revolute,-0.04695,-0.0003,0,0,0,0,Bubright,0,1,0,0,0,0,0,,,,,,,,
